Description:,This is a peer-review template for course COMP4008-PRG (programming in python).,,
," For each cell marked as ""-- *** --""script, please delete text there and write corresponded  information.",,
,"I will process this file using (python) script. So please write it carefully, I don't want to manually correct it",,
,"If your group has n people, your will need to review (n-1) people (excluding you). You will have (n-1)*10 marks in total that you need to split for you friend.",,
,ignore some lower row(s) if you have less people in your group.,,
,,,
Student ID,-- 42XXXXX --,,
Your Name,-- your name --,,
Group Name,-- here --,,
,,,
Member 1,-- 42XXXXX --,-- score --,-- comment (optional) --
Member 2,-- 42XXXXX --,-- score --,-- comment (optional) --
